stream,binsize,estimatedrate,measuredrate,binsizeindays,particlesperbin,estimatedvsingested,dataratenotes
pco2w_b_regular_status,20160,2,2,14,28,,Sample data 2 per day
pco2w_b_sami_data_record,20160,24,20,14,336,,Sample data 14-20 per day
pco2w_b_sami_data_record_cal,20160,,,14,0,,No good data from ingested sample
pco2w_b_thermistor_voltage,20160,2,,14,28,,No ingested data
phsen_abcdef_dcl_instrument,20160,30,25,14,420,,Sample data 1-25 per day
phsen_abcdef_dcl_instrument_recovered,20160,30,8,14,420,,Sample data 6-8 per day
phsen_abcdef_dcl_metadata,20160,,1,14,14,,Sample data 1 per day
phsen_abcdef_dcl_metadata_recovered,20160,,1,14,14,,Sample data 1 per day
phsen_abcdef_imodem_control,20160,,1,14,14,,Sample data 1 per day
phsen_abcdef_imodem_control_recovered,20160,,,14,0,,No ingested data
phsen_abcdef_imodem_instrument,20160,24,9,14,336,,Sample data 1-9 per day
phsen_abcdef_imodem_instrument_recovered,20160,,,14,0,,No ingested data
phsen_abcdef_imodem_metadata,20160,,17,14,238,,Sample data 1-17 per day
phsen_abcdef_imodem_metadata_recovered,20160,,,14,0,,No ingested data
phsen_abcdef_instrument,20160,24,12,14,336,,Sample data 12 per day
phsen_abcdef_metadata,20160,,1,14,14,,Sample data 1 per day
phsen_abcdef_sio_mule_instrument,20160,24,2,14,336,,Sample data 1-2 per day
phsen_abcdef_sio_mule_metadata,20160,,,14,0,,No good data from ingested sample
phsen_battery_voltage,20160,1,,14,14,,No ingested data
phsen_configuration,20160,1,,14,14,,No ingested data
phsen_control_record,20160,,,14,0,,No ingested data
phsen_data_record,20160,24,24,14,336,,Sample data 4-24 per day
phsen_parsed,1440,,,1,0,,No ingested data
phsen_regular_status,20160,2,2,14,28,,Sample data 2 per day
phsen_thermistor_voltage,20160,1,,14,14,,No ingested data
ppsdn_a_subcon_instrument_recovered,1440,,,1,0,,No ingested data
ppsdn_sample_result,20160,0.06575342466,,14,1,,No ingested data
presf_abc_dcl_tide_measurement,20160,24,25,14,350,,Sample data 1-25 per day
presf_abc_dcl_tide_measurement_recovered,20160,24,8,14,336,,Sample data 8 per day
presf_abc_dcl_wave_burst,20160,,17,14,238,,Sample data 6-17 per day
presf_abc_dcl_wave_burst_recovered,20160,,8,14,112,,Sample data 8 per day
presf_abc_tide_measurement_recovered,,,,,,,
presf_abc_wave_burst_recovered,,,,,,,
presf_calibration_coefficients,20160,,,14,0,Best guess ( cal ),No ingested data
presf_operating_status,1440,,,1,0,Should this be 20160?,No ingested data
presf_tide_measurement,1440,,,1,0,Should this be 20160?,No ingested data
presf_wave_burst,1440,,,1,0,Should this be 20160?,No ingested data
presf_wave_statistics,1440,,,1,0,Should this be 20160?,No ingested data
prest_configuration_data,20160,2,,14,28,,No good data from ingested sample
prest_device_status,20160,2,,14,28,,No ingested data
prest_event_counter,20160,2,,14,28,,No ingested data
prest_hardware_data,20160,0.002739726027,,14,0,,No ingested data
prest_real_time,1440,2,5500,1,"77,000","Conflict, but both low",Sample data 3k-5.5k per day
prest_reference_oscillator,10080,5760,,7,"40,320",,No ingested data
rasfl_a_subcon_instrument_recovered,1440,,,1,0,,No ingested data
rasfl_sample_result,20160,0.1315068493,,14,2,,No ingested data
rte_o_dcl_instrument,20160,,,14,0,,No ingested data
rte_o_dcl_instrument_recovered,20160,,25,14,350,,Sample data 3-25 per day
sami_regular_status,1440,,,1,0,,No ingested data
sio_eng_control_status,20160,,3,14,42,,Sample data 1-3 per day
sio_eng_control_status_recovered,20160,,48,14,672,,Sample data 24-48 per day
spkir_a_configuration_record,20160,2,,14,28,,No ingested data
spkir_abj_cspp_instrument,20160,40,,14,560,,No ingested data
spkir_abj_cspp_instrument_recovered,1440,40,2500,1,"35,000","Conflict, but both low",Sample data 2.5k per day
spkir_abj_cspp_metadata,20160,,,14,0,,No ingested data
spkir_abj_cspp_metadata_recovered,20160,,3,14,42,,Sample data 3 per day
spkir_abj_dcl_instrument,1440,450,18000,1,"126,000",Conflict,Sample data 78-18k per day
spkir_abj_dcl_instrument_recovered,1440,450,3000,1,"9,000",Conflict,Sample data 3k per day
spkir_data_record,180,864000,343000,0.125,"108,000",Conflict,Sample data 265k-343k per day
stm_timestamp,1440,,,1,0,,No ingested data
thsph_sample,1440,17280,,1,"17,280",,No ingested data
tmpsf_engineering,20160,2,,14,28,,No ingested data
tmpsf_L1,1440,,,1,0,,No ingested data
tmpsf_sample,4320,7200,6000,3,"50,400",,Sample data 5k-6k per day
trhph_sample,10080,4320,4300,7,"30,240",,Sample data 4300 per day
trhph_status,20160,2,,14,28,,No ingested data
vadcp_4beam_system_configuration,20160,,,14,0,,No good data from ingested sample
vadcp_5thbeam_compass_calibration,20160,2,,14,28,,No good data from ingested sample
vadcp_5thbeam_pd0_beam_parsed,180,86400,18000,0.125,"86,400",Conflict,Sample data 5k-18k per day
vadcp_5thbeam_system_configuration,20160,2,,14,28,,No good data from ingested sample
vadcp_ancillary_system_data,20160,,,14,0,,No good data from ingested sample
vadcp_pd0_beam_parsed,2880,,18000,2,"126,000",,Sample data 5k-18k per day
vadcp_transmit_path,20160,,,14,0,Best guess,No good data from ingested sample
vel3d_a_mmp_cds_instrument,1440,86400,,1,"86,400",,No ingested data
vel3d_b_engineering,20160,2,,14,28,,No ingested data
vel3d_b_sample,720,86400,84000,0.5,"86,400",,Sample data 42k-84k per day
vel3d_cd_battery_voltage,20160,2,,14,28,,No ingested data
vel3d_cd_data_header,20160,2,,14,28,,No ingested data
vel3d_cd_dcl_data_header,20160,,1,14,14,,Sample data 1 per day
vel3d_cd_dcl_system_data,20160,,66,,0,,Sample data 66 per day
vel3d_cd_dcl_velocity_data,20160,,522,,0,,Sample data 522 per day
vel3d_cd_dcl_data_header_recovered,20160,,,14,0,Best guess,No ingested data
vel3d_cd_dcl_hardware_configuration,20160,,,14,0,Best guess,No ingested data
vel3d_cd_dcl_hardware_configuration_recovered,20160,,,14,0,Best guess,No ingested data
vel3d_cd_dcl_head_configuration,20160,,,14,0,Best guess,No ingested data
vel3d_cd_dcl_head_configuration_recovered,20160,,,14,0,Best guess,No ingested data
vel3d_cd_dcl_system_data,1440,,,1,0,,No ingested data
vel3d_cd_dcl_system_data_recovered,1440,,,1,0,,No ingested data
vel3d_cd_dcl_user_configuration,1440,,,1,0,,No ingested data
vel3d_cd_dcl_user_configuration_recovered,1440,,,1,0,,No ingested data
vel3d_cd_dcl_velocity_data,720,,,0.5,0,,No ingested data
vel3d_cd_dcl_velocity_data_recovered,1440,,,1,0,,No ingested data
vel3d_cd_hardware_configuration,20160,2,,14,28,,No ingested data
vel3d_cd_head_configuration,20160,2,,14,28,,No ingested data
vel3d_cd_identification_string,20160,2,,14,28,,No ingested data
vel3d_cd_system_data,1440,86400,72000,1,"86,400",,Sample data 49k-72k per day
vel3d_cd_user_configuration,20160,2,,14,28,,No ingested data
vel3d_cd_velocity_data,360,691200,691146,0.25,"172,800",,Beta cluster sample data 691146
vel3d_clock_data,20160,2,,14,28,,No ingested data
vel3d_k_wfp_instrument,720,4092,33000,0.5,"99,000",Conflict,Sample data 13k-33k per day
vel3d_k_wfp_metadata,20160,,35,14,490,,Sample data 3-35 per day
vel3d_k_wfp_stc_instrument,1440,4092,17000,1,"119,000",Conflict,Sample data 8k-17k per day
vel3d_k_wfp_stc_metadata,20160,,13,14,182,,Sample data 4-13 per day
vel3d_k_wfp_string,1440,,,1,0,,No ingested data
vel3d_l_wfp_instrument,1440,86400,20,1,"86,400",Conflict,Sample data 3-20 per day
vel3d_l_wfp_instrument_recovered,1440,86400,17000,1,"86,400",Conflict,Sample data 16k-17k per day
vel3d_l_wfp_metadata_recovered,20160,,1,14,14,,Sample data 1 per day
vel3d_l_wfp_sio_mule_metadata,20160,,1,14,14,,Sample data 1 per day
velpt_ab_dcl_diagnostics,10080,,390,7,"5,460",,Sample data 1-390 per day
velpt_ab_dcl_diagnostics_metadata,20160,,20,14,280,,Sample data 1-20 per day
velpt_ab_dcl_diagnostics_metadata_recovered,20160,,,14,0,,No ingested data
velpt_ab_dcl_diagnostics_recovered,1440,,,1,0,Should this be higher?,No ingested data
velpt_ab_dcl_instrument,20160,96,1700,14,"23,800","Conflict, but both low",Sample data 2-1700 per day
velpt_ab_dcl_instrument_recovered,10080,96,,7,672,Best guess,No ingested data
velpt_ab_diagnostics_metadata_recovered,20160,,2,14,28,,Sample data 2 per day
velpt_ab_diagnostics_recovered,1440,,90000,1,"90,000",,Sample data 40-90k per day
velpt_ab_instrument_metadata_recovered,20160,,,14,0,,No good data from ingested sample
velpt_ab_instrument_recovered,1440,86400,144,1,"86,400",Conflict,Sample data 3-144 per day
velpt_battery_voltage,20160,2,,14,28,,No ingested data
velpt_clock_data,20160,2,,14,28,,No ingested data
velpt_data_header,1440,,,1,0,Should this be 20160 too?,No ingested data
velpt_hardware_configuration,20160,2,,14,28,,No ingested data
velpt_head_configuration,20160,2,,14,28,,No ingested data
velpt_identification_string,20160,2,,14,28,,No ingested data
velpt_j_cspp_instrument,20160,40,,14,560,,No ingested data
velpt_j_cspp_instrument_recovered,20160,40,368,14,"5,152",,Sample data 368 per day
velpt_j_cspp_metadata,20160,,,14,0,,No ingested data
velpt_j_cspp_metadata_recovered,20160,,3,14,42,,Sample data 3 per day
velpt_system_data,1440,,,1,0,,No ingested data
velpt_user_configuration,20160,2,,14,28,,No ingested data
velpt_velocity_data,180,1440,344000,0.125,"172,000",Conflict,Sample data 193k-344k per day
wavss_a_dcl_fourier,20160,,5,14,70,,Sample data 3-5 per day
wavss_a_dcl_fourier_recovered,20160,,,14,0,Best guess,No ingested data
wavss_a_dcl_mean_directional,20160,,13,14,182,,Sample data 4-13 per day
wavss_a_dcl_mean_directional_recovered,20160,,,14,0,Best guess,No ingested data
wavss_a_dcl_motion,20160,,48,14,672,,Sample data 4-48 per day
wavss_a_dcl_motion_recovered,20160,,,14,0,Best guess,No ingested data
wavss_a_dcl_non_directional,20160,120,5,14,"1,680","Conflict, but both low",Sample data 3-5 per day
wavss_a_dcl_non_directional_recovered,20160,120,,14,"1,680",Best guess,No ingested data
wavss_a_dcl_statistics,20160,,22,14,308,,Sample data 6-22 per day
wavss_a_dcl_statistics_recovered,20160,,,14,0,Best guess,No ingested data
wfp_eng__stc_imodem_status_recovered,1440,,,1,0,,No ingested data
wfp_eng_stc_imodem_engineering,20160,,1800,14,"25,200",,Sample data 290-1800 per day
wfp_eng_stc_imodem_engineering_recovered,20160,,2200,14,"30,800",,Sample data 6-2200 per day
wfp_eng_stc_imodem_start_time,20160,,13,14,182,,Sample data 4-13 per day
wfp_eng_stc_imodem_start_time_recovered,20160,,35,14,490,,Sample data 1-35 per day
wfp_eng_stc_imodem_status,20160,,25,14,350,,Sample data 4-25 per day
wfp_eng_stc_imodem_status_recovered,20160,,41,14,574,,Sample data 1-41 per day
wfp_eng_wfp_sio_mule_engineering,20160,,23,14,322,,Sample data 2-23 per day
wfp_eng_wfp_sio_mule_start_time,20160,,1,14,14,,Sample data 1 per day
wfp_eng_wfp_sio_mule_status,20160,,1,14,14,,Sample data 1 per day
winch_cspp_eng,1440,,,1,0,,No ingested data
zplsc_metadata,20160,,,14,0,,No ingested data
zplsc_c_instrument,20160,,24,14,336,,Sample data 9-24 per day
zplsc_status,20160,2,,14,28,,No ingested data
adcp_velocity_beam,180,,,,,,
adcp_velocity_earth,720,,,,,,
adcp_velocity_inst,720,,,,,,
adcp_velocity_glider,720,,,,,,
adcp_engineering,720,,,,,,
adcp_config,20160,,,,,,
adcp_bottom_track_earth,1440,,,,,,
adcp_bottom_track_inst,1440,,,,,,
adcp_bottom_track_config,20160,,,,,,
vadcp_velocity_beam,720,,,,,,
vadcp_velocity_beam_5,720,,,,,,
adcp_engineering_5,10080,,,,,,
adcp_config_5,20160,,,,,,
adcp_compass_calibration_5,20160,,,,,,
adcp_system_configuration_5,20160,,,,,,
adcp_ancillary_system_data_5,20160,,,,,,
adcp_transmit_path_5,20160,,,,,,
ctdav_auv_data,1440,,,,,,
flort_kn_sample,720,,,,,,
flort_m_sample,720,,,,,,
nutnr_n_dark_instrument_recovered,360,,,,,,
secondary_node_eng_data,720,,,,,,
secondary_node_port_eng_data,720,,,,,,
zplsc_echogram_data,120,,,,,,
