stream,binsize,estimatedrate,measuredrate,binsizeindays,particlesperbin,estimatedvsingested,dataratenotes
cg_dcl_eng_dcl_superv,20160,,800,14,"11,200",,Sample data 1-800 per day
cg_dcl_eng_dcl_superv_recovered,20160,,90,14,"1,260",,Sample data 18-90 per day
cg_stc_eng_stc,20160,,18,14,252,,Sample data 3-18 per day
cg_stc_eng_stc_recovered,20160,,30,14,420,,Sample data 2-30 per day
cgldr_engineering_delayed,1440,,,1,0,,No ingested data
cgldr_flort_delayed,1440,,,1,0,,No ingested data
cgldr_parad_delayed,1440,,,1,0,,No ingested data
cspp_eng_cspp_dbg_pdbg_batt_eng,1440,,,1,0,,No ingested data
cspp_eng_cspp_dbg_pdbg_batt_eng_recovered,1440,,,1,0,,No ingested data
cspp_eng_cspp_dbg_pdbg_gps_eng,1440,,,1,0,,No ingested data
cspp_eng_cspp_dbg_pdbg_gps_eng_recovered,1440,,,1,0,,No ingested data
cspp_eng_cspp_dbg_pdbg_metadata,1440,,,1,0,,No ingested data
cspp_eng_cspp_dbg_pdbg_metadata_recovered,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_hmr_eng,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_hmr_eng_recovered,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_hmr_metadata,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_hmr_metadata_recovered,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_sbe_eng,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_sbe_eng_recovered,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_sbe_metadata,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_sbe_metadata_recovered,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_wm_eng,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_wm_eng_recovered,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_wm_metadata,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_wm_metadata_recovered,1440,,,1,0,,No ingested data
ctd_external_dataset,1440,,,1,0,,No ingested data
ctd_simulator,1440,,,1,0,,No ingested data
ctdav_n_auv_instrument,1440,,,1,0,,No ingested data
ctdav_n_auv_instrument_recovered,720,,,0.5,0,,No ingested data
ctdbp_cdef_calibration_coefficients,1440,,,1,0,,No ingested data
ctdbp_cdef_ce_dosta_recovered,1440,,,1,0,,No ingested data
ctdbp_cdef_ce_instrument_recovered,20160,,120,14,"1,680",,Sample data 120 per day
ctdbp_cdef_cp_instrument_recovered,20160,,3100,14,"43,400",,Sample data 800-3100 per day
