designator,depth
CE07SHSM-MFD37-03-DOSTAD000,87.0
CE07SHSM-MFD37-06-CAMDSA000,87.0
CE07SHSM-MFD37-07-ZPLSCC000,87.0
CE07SHSM-RIC21-00-CPMENG000,7.0
CE07SHSM-RID26-00-DCLENG000,7.0
CE07SHSM-RID26-01-ADCPTA000,7.0
CE07SHSM-RID26-04-VELPTA000,7.0
CE07SHSM-RID26-06-PHSEND000,7.0
CE07SHSM-RID26-07-NUTNRB000,7.0
CE07SHSM-RID26-08-SPKIRB000,7.0
CE07SHSM-RID27-00-DCLENG000,7.0
CE07SHSM-RID27-01-OPTAAD000,7.0
CE07SHSM-RID27-02-FLORTD000,7.0
CE07SHSM-RID27-03-CTDBPC000,7.0
CE07SHSM-RID27-04-DOSTAD000,7.0
CE07SHSM-SBC11-00-CPMENG000,0.0
CE07SHSM-SBD11-00-DCLENG000,0.0
CE07SHSM-SBD11-01-MOPAK0000,0.0
CE07SHSM-SBD11-02-HYDGN0000,0.0
CE07SHSM-SBD11-04-VELPTA000,1.0
CE07SHSM-SBD11-06-METBKA000,-3.0
CE07SHSM-SBD12-00-DCLENG000,0.0
CE07SHSM-SBD12-03-HYDGN0000,0.0
CE07SHSM-SBD12-04-PCO2AA000,0.0
CE07SHSM-SBD12-05-WAVSSA000,0.0
CE07SHSP-SP001-00-SPPENG000,87.0
CE07SHSP-SP001-01-DOSTAJ000,87.0
CE07SHSP-SP001-02-VELPTJ000,87.0
CE07SHSP-SP001-04-OPTAAJ000,87.0
CE07SHSP-SP001-05-NUTNRJ000,87.0
CE07SHSP-SP001-06-SPKIRJ000,87.0
CE07SHSP-SP001-07-FLORTJ000,87.0
CE07SHSP-SP001-08-CTDPFJ000,87.0
CE07SHSP-SP001-09-PARADJ000,87.0
CE09OSPM-SBS01-00-STCENG000,0.0
CE09OSPM-SBS01-01-MOPAK0000,0.0
CE09OSPM-WFP01-00-WFPENG000,540.0
CE09OSPM-WFP01-01-VEL3DK000,540.0
CE09OSPM-WFP01-02-DOFSTK000,540.0
CE09OSPM-WFP01-03-CTDPFK000,540.0
CE09OSPM-WFP01-04-FLORTK000,540.0
CE09OSPM-WFP01-05-PARADK000,540.0
CE09OSSM-MFC31-00-CPMENG000,540.0
CE09OSSM-MFD35-00-DCLENG000,540.0
CE09OSSM-MFD35-01-VEL3DD000,540.0
CE09OSSM-MFD35-02-PRESFC000,540.0
CE09OSSM-MFD35-04-ADCPSJ000,540.0
CE09OSSM-MFD35-05-PCO2WB000,540.0
CE09OSSM-MFD35-06-PHSEND000,540.0
CE09OSSM-MFD37-00-DCLENG000,540.0
CE09OSSM-MFD37-01-OPTAAC000,540.0
CE09OSSM-MFD37-03-CTDBPE000,540.0
CE09OSSM-MFD37-03-DOSTAD000,540.0
CE09OSSM-MFD37-06-CAMDSA000,540.0
CE09OSSM-MFD37-07-ZPLSCC000,540.0
CE09OSSM-RIC21-00-CPMENG000,7.0
CE09OSSM-RID26-00-DCLENG000,7.0
CE09OSSM-RID26-01-ADCPTC000,7.0
CE09OSSM-RID26-04-VELPTA000,7.0
CE09OSSM-RID26-06-PHSEND000,7.0
CE09OSSM-RID26-07-NUTNRB000,7.0
CE09OSSM-RID26-08-SPKIRB000,7.0
CE09OSSM-RID27-00-DCLENG000,7.0
CE09OSSM-RID27-01-OPTAAD000,7.0
CE09OSSM-RID27-02-FLORTD000,7.0
CE09OSSM-RID27-03-CTDBPC000,7.0
CE09OSSM-RID27-04-DOSTAD000,7.0
CE09OSSM-SBC11-00-CPMENG000,0.0
CE09OSSM-SBD11-00-DCLENG000,0.0
CE09OSSM-SBD11-01-MOPAK0000,0.0
CE09OSSM-SBD11-02-HYDGN0000,0.0
CE09OSSM-SBD11-04-VELPTA000,1.0
CE09OSSM-SBD11-06-METBKA000,-3.0
CE09OSSM-SBD12-00-DCLENG000,0.0
CE09OSSM-SBD12-03-HYDGN0000,0.0
CE09OSSM-SBD12-04-PCO2AA000,0.0
CE09OSSM-SBD12-05-WAVSSA000,0.0
CP01CNSM-MFC31-00-CPMENG000,133.0
CP01CNSM-MFD35-00-DCLENG000,133.0
CP01CNSM-MFD35-01-ADCPTF000,133.0
CP01CNSM-MFD35-02-PRESFB000,133.0
CP01CNSM-MFD35-04-VELPTA000,133.0
CP01CNSM-MFD35-05-PCO2WB000,133.0
CP01CNSM-MFD35-06-PHSEND000,133.0
CP01CNSM-MFD37-00-DCLENG000,133.0
CP01CNSM-MFD37-01-OPTAAD000,133.0
CP01CNSM-MFD37-03-CTDBPD000,133.0
CP01CNSM-MFD37-04-DOSTAD000,133.0
CP01CNSM-MFD37-07-ZPLSCC000,133.0
CP01CNSM-RIC21-00-CPMENG000,7.0
CP01CNSM-RID26-00-DCLENG000,7.0
CP01CNSM-RID26-04-VELPTA000,7.0
CP01CNSM-RID26-06-PHSEND000,7.0
CP01CNSM-RID26-07-NUTNRB000,7.0
CP01CNSM-RID26-08-SPKIRB000,7.0
CP01CNSM-RID27-00-DCLENG000,7.0
CP01CNSM-RID27-01-OPTAAD000,7.0
CP01CNSM-RID27-02-FLORTD000,7.0
CP01CNSM-RID27-03-CTDBPC000,7.0
CP01CNSM-RID27-04-DOSTAD000,7.0
CP01CNSM-SBC11-00-CPMENG000,0.0
CP01CNSM-SBD11-00-DCLENG000,0.0
CP01CNSM-SBD11-01-MOPAK0000,0.0
CP01CNSM-SBD11-02-HYDGN0000,0.0
CP01CNSM-SBD11-06-METBKA000,-3.0
CP01CNSM-SBD12-00-DCLENG000,0.0
CP01CNSM-SBD12-03-HYDGN0000,0.0
CP01CNSM-SBD12-04-PCO2AA000,0.0
CP01CNSM-SBD12-05-WAVSSA000,0.0
CP01CNSM-SBD12-06-METBKA000,-3.0
CP01CNSM-SBD12-08-FDCHPA000,-3.0
CP01CNSP-SP001-00-SPPENG000,100.0
CP01CNSP-SP001-02-OPTAAJ000,100.0
CP01CNSP-SP001-03-NUTNRJ000,100.0
CP01CNSP-SP001-05-VELPTJ000,100.0
CP01CNSP-SP001-06-DOSTAJ000,100.0
CP01CNSP-SP001-07-SPKIRJ000,100.0
CP01CNSP-SP001-08-CTDPFJ000,100.0
CP01CNSP-SP001-09-FLORTJ000,100.0
CP01CNSP-SP001-10-PARADJ000,100.0
CP02PMCI-RII01-02-ADCPTG010,104.0
CP02PMCI-SBS01-00-STCENG000,0.0
CP02PMCI-SBS01-01-MOPAK0000,0.0
CP02PMCI-WFP01-00-WFPENG000,425.0
CP02PMCI-WFP01-01-VEL3DK000,104.0
CP02PMCI-WFP01-02-DOFSTK000,104.0
CP02PMCI-WFP01-03-CTDPFK000,104.0
CP02PMCI-WFP01-04-FLORTK000,104.0
CP02PMCI-WFP01-05-PARADK000,104.0
CP02PMCO-RII01-02-ADCPTG010,125.0
CP02PMCO-SBS01-00-STCENG000,0.0
CP02PMCO-SBS01-01-MOPAK0000,0.0
CP02PMCO-WFP01-00-WFPENG000,425.0
CP02PMCO-WFP01-01-VEL3DK000,125.0
CP02PMCO-WFP01-02-DOFSTK000,125.0
CP02PMCO-WFP01-03-CTDPFK000,125.0
CP02PMCO-WFP01-04-FLORTK000,125.0
CP02PMCO-WFP01-05-PARADK000,125.0
CP02PMUI-RII01-02-ADCPTG010,70.0
CP02PMUI-SBS01-00-STCENG000,0.0
CP02PMUI-SBS01-01-MOPAK0000,0.0
CP02PMUI-WFP01-00-WFPENG000,70.0
CP02PMUI-WFP01-01-VEL3DK000,70.0
CP02PMUI-WFP01-02-DOFSTK000,70.0
CP02PMUI-WFP01-03-CTDPFK000,70.0
CP02PMUI-WFP01-04-FLORTK000,70.0
CP02PMUI-WFP01-05-PARADK000,70.0
CP02PMUO-RII01-02-ADCPSL010,425.0
CP02PMUO-SBS01-00-STCENG000,0.0
CP02PMUO-SBS01-01-MOPAK0000,0.0
CP02PMUO-WFP01-00-WFPENG000,425.0
CP02PMUO-WFP01-01-VEL3DK000,425.0
CP02PMUO-WFP01-02-DOFSTK000,425.0
CP02PMUO-WFP01-03-CTDPFK000,425.0
CP02PMUO-WFP01-04-FLORTK000,425.0
CP02PMUO-WFP01-05-PARADK000,425.0
CP03ISSM-MFC31-00-CPMENG000,91.5
CP03ISSM-MFD35-00-DCLENG000,91.5
CP03ISSM-MFD35-01-ADCPTF000,91.5
CP03ISSM-MFD35-02-PRESFB000,91.5
CP03ISSM-MFD35-04-VELPTA000,91.5
CP03ISSM-MFD35-05-PCO2WB000,91.5
CP03ISSM-MFD35-06-PHSEND000,91.5
CP03ISSM-MFD37-00-DCLENG000,91.5
CP03ISSM-MFD37-01-OPTAAD000,91.5
CP03ISSM-MFD37-03-CTDBPD000,91.5
CP03ISSM-MFD37-04-DOSTAD000,91.5
CP03ISSM-MFD37-07-ZPLSCC000,91.5
CP03ISSM-RIC21-00-CPMENG000,7.0
CP03ISSM-RID26-00-DCLENG000,7.0
CP03ISSM-RID26-04-VELPTA000,7.0
CP03ISSM-RID26-06-PHSEND000,7.0
CP03ISSM-RID26-07-NUTNRB000,7.0
CP03ISSM-RID26-08-SPKIRB000,7.0
CP03ISSM-RID27-00-DCLENG000,7.0
CP03ISSM-RID27-01-OPTAAD000,7.0
CP03ISSM-RID27-02-FLORTD000,7.0
CP03ISSM-RID27-03-CTDBPC000,7.0
CP03ISSM-RID27-04-DOSTAD000,7.0
CP03ISSM-SBC11-00-CPMENG000,0.0
CP03ISSM-SBD11-00-DCLENG000,0.0
CP03ISSM-SBD11-01-MOPAK0000,0.0
CP03ISSM-SBD11-02-HYDGN0000,0.0
CP03ISSM-SBD11-06-METBKA000,-3.0
CP03ISSM-SBD12-00-DCLENG000,0.0
CP03ISSM-SBD12-03-HYDGN0000,0.0
CP03ISSM-SBD12-04-PCO2AA000,0.0
CP03ISSP-SP001-00-SPPENG000,100.0
CP03ISSP-SP001-02-OPTAAJ000,80.0
CP03ISSP-SP001-03-NUTNRJ000,80.0
CP03ISSP-SP001-05-VELPTJ000,80.0
CP03ISSP-SP001-06-DOSTAJ000,80.0
CP03ISSP-SP001-07-SPKIRJ000,80.0
CP03ISSP-SP001-08-CTDPFJ000,80.0
CP03ISSP-SP001-09-FLORTJ000,80.0
CP03ISSP-SP001-10-PARADJ000,80.0
CP04OSPM-SBS01-00-STCENG000,0.0
CP04OSPM-SBS11-02-MOPAK0000,0.0
CP04OSPM-WFP01-00-WFPENG000,427.0
CP04OSPM-WFP01-01-VEL3DK000,427.0
CP04OSPM-WFP01-02-DOFSTK000,427.0
CP04OSPM-WFP01-03-CTDPFK000,427.0
CP04OSPM-WFP01-04-FLORTK000,427.0
CP04OSPM-WFP01-05-PARADK000,427.0
CP04OSSM-MFC31-00-CPMENG000,450.0
CP04OSSM-MFD35-00-DCLENG000,450.0
CP04OSSM-MFD35-01-ADCPSJ000,450.0
CP04OSSM-MFD35-02-PRESFC000,450.0
CP04OSSM-MFD35-04-VELPTB000,450.0
CP04OSSM-MFD35-05-PCO2WB000,450.0
CP04OSSM-MFD35-06-PHSEND000,450.0
