scenario,id,confluence,name,parameterids,temporalparameter,streamdependency,streamtype,streamcontent,reviewstatus
CTDBP_CDEF_DCL,DICT700,,ctdbp_cdef_dcl_instrument,"PD7,PD10,PD11,PD12,PD16,PD863,PD2605,PD6,PD1,PD2,PD93,PD13,PD5,PD8100",PD7,,Science,Data Products,
CTDBP_CDEF_DCL,DICT701,,ctdbp_cdef_dcl_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD2605,PD6,PD1,PD2,PD93,PD13,PD5,PD8100",PD7,,Science,Data Products,
CTDBP_CDEF_DCL,DICT702,,dosta_abcdjm_ctdbp_dcl_instrument,"PD7,PD10,PD11,PD12,PD16,PD863,PD2605,PD2022,PD93,PD14",PD7,,Science,Data Products,
CTDBP_CDEF_DCL,DICT703,,dosta_abcdjm_ctdbp_dcl_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD2605,PD2022,PD93,PD14",PD7,,Science,Data Products,
CTDBP_CDEF,DICT704,,ctdbp_cdef_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD193,PD194,PD195,PD196,PD198,PD2819,PD2820,PD2821,PD13,PD5,PD8104",PD7,,Science,Data Products,
CTDBP_CDEF,DICT705,,dosta_abcdjm_ctdbp_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD197,PD198,PD964,PD14",PD7,,Science,Data Products,
FLORD_D,DICT706,,flord_d_data_record,"PD7,PD10,PD11,PD12,PD16,PD21,PD22,PD24,PD25,PD1136,PD1137,PD1138,PD1139,PD1140,PD1141,PD1144,PD1145,PD1146,PD1147,PD1148,PD863",PD7,,Science,Data Products,
FLORD_D,DICT707,,flord_d_status,"PD7,PD10,PD11,PD12,PD16,PD863,PD312,PD113,PD2043,PD2044,PD2045,PD2046,PD2048,PD2049,PD2051,PD2052,PD2053,PD2054,PD2055,PD2056,PD2057,PD2058,PD2059,PD2060",PD7,,Engineering,Status Data,
NUTNR_A,DICT708,,nutnr_a_dark_sample,"PD7,PD11,PD10,PD12,PD16,PD863,PD311,PD312,PD313,PD314,PD315,PD2320,PD2321,PD2322,PD2323,PD2324,PD2325,PD2326,PD332,PD320,PD321,PD322,PD347,PD324,PD327,PD325,PD2327,PD2328,PD316,PD317,PD2329,PD2330,PD333,PD2331",PD7,,Science,Dark Sample Data Products,
PAD,DICT709,,deep_profiler_dock_eng_data,"PD7,PD10,PD11,PD12,PD16,PD863,PD7200,PD7201,PD7202,PD7203,PD7204",PD7,,Engineering,Engineering Data,
PAD,DICT710,,deep_profiler_vehicle_eng_data,"PD7,PD10,PD11,PD12,PD16,PD863,PD7209,PD7210,PD7211,PD7212,PD7213,PD7214,PD7215,PD7216,PD7217,PD7218",PD7,,Engineering,Engineering Data,
PAD,DICT711,,secondary_node_lpjbox_eng_data,"PD7,PD10,PD11,PD12,PD16,PD863,PD7000,PD7001,PD7002,PD7003,PD7004,PD7005,PD7006,PD7007,PD7008,PD7009,PD7010,PD7011,PD7012",PD7,,Engineering,Engineering Data,
PAD,DICT712,,secondary_node_port_eng_data,"PD7,PD10,PD11,PD12,PD16,PD863,PD7100,PD7101,PD7102,PD7103,PD7104,PD7105,PD7106,PD7107,PD7108,PD7109",PD7,,Engineering,Engineering Data,
PAD,DICT713,,secondary_node_eng_data,"PD7,PD10,PD11,PD12,PD16,PD863,PD7000,PD7001,PD7002,PD7003,PD7004,PD7005,PD7006,PD7007,PD7008,PD7009,PD7010,PD7011,PD7012,PD7013,PD7014,PD7015,PD7016,PD7017,PD7018,PD7111,PD7112",PD7,,Engineering,Engineering Data,
PAD,DICT714,,shallow_profiler_winch_eng_data,"PD7,PD10,PD11,PD12,PD16,PD863,PD7500,PD7501,PD7502,PD7503,PD7504,PD7505,PD7550,PD7551,PD7552,PD7553,PD7554,PD7555,PD7556,PD7557,PD7558,PD7559,PD7560,PD7561,PD7562,PD7563,PD7600,PD7601,PD7602,PD7603,PD7604,PD7650,PD7651,PD7652,PD7653,PD7654,PD7655,PD7656,PD7657,PD7658,PD7659,PD7670,PD7700,PD7701,PD7702,PD7703,PD7704,PD7705,PD7706,PD7707,PD7708",PD7,,Engineering,Engineering Data,
PAD,DICT715,,shore_station_power_feed_equipment_eng_data,"PD7,PD10,PD11,PD12,PD16,PD863,PD7800,PD7801,PD7802,PD7803,PD7804,PD7805,PD7806,PD7807,PD7808,PD7809,PD7810,PD7811,PD7812,PD7813,PD7814,PD7815,PD7816,PD7817,PD7818,PD7819,PD7820,PD7821,PD7822",PD7,,Engineering,Engineering Data,
PAD,DICT716,,primary_node_eng_data,"PD7,PD10,PD11,PD12,PD16,PD863,PD7840,PD7841,PD7842,PD7843,PD7844,PD7845,PD7846,PD7847,PD7848,PD7849,PD7850,PD7851,PD7852,PD7853,PD7854,PD7855,PD7856,PD7857,PD7858,PD7859,PD7860,PD7861,PD7862,PD7863,PD7864,PD7865,PD7866,PD7867,PD7868,PD7869,PD7870,PD7871,PD7872,PD7873,PD7874,PD7875,PD7876,PD7877,PD7878,PD7879,PD7880,PD7881,PD7882,PD7883,PD7884",PD7,,Engineering,Engineering Data,
PAD,DICT717,,primary_node_port_eng_data,"PD7,PD10,PD11,PD12,PD16,PD863,PD7840,PD7841,PD7842,PD7843,PD7844,PD7845,PD7846,PD7847,PD7848,PD7849,PD7850,PD7851,PD7852,PD7853,PD7854,PD7855,PD7856,PD7857,PD7858,PD7859,PD7860,PD7861,PD7862,PD7863,PD7864,PD7865,PD7866,PD7867,PD7868,PD7869,PD7870,PD7871,PD7872,PD7873,PD7874,PD7875,PD7876,PD7877,PD7878,PD7879,PD7880,PD7881,PD7882,PD7883,PD7884",PD7,,Engineering,Engineering Data,
PAD,DICT718,,primary_node_out_of_band_port_data,"PD7,PD10,PD11,PD12,PD16,PD863,PD7890,PD7891,PD7892,PD7893,PD7894,PD7895,PD7896,PD7897,PD7898,PD7899,PD7900",PD7,,Engineering,Engineering Data,
PAD,DICT719,,shore_station_otn_sea_side_port_data,"PD7,PD10,PD11,PD12,PD16,PD863,PD7910,PD7911,PD7912,PD7913,PD7914,PD7915,PD7916,PD7917,PD7918",PD7,,Engineering,Engineering Data,
PAD,DICT720,,shore_station_force_10_network_port_data,"PD7,PD10,PD11,PD12,PD16,PD863,PD7930,PD7931,PD7932,PD7933,PD7934,PD7935,PD7936,PD7937,PD7938,PD7939,PD7940,PD7941,PD7942,PD7943",PD7,,Engineering,Engineering Data,
PAD,DICT721,,shore_station_time_server_eng_data,"PD7,PD10,PD11,PD12,PD16,PD863,PD7950,PD7951,PD7952,PD7953,PD7954,PD7955,PD7956,PD7957,PD7958,PD7959,PD7960,PD7961,PD7962,PD7963,PD7964,PD7965,PD7966,PD7967,PD7968,PD7969,PD7970,PD7971,PD7972,PD7973,PD7974,PD7975,PD7976,PD7977,PD7978,PD7979,PD7980,PD7981,PD7982",PD7,,Engineering,Engineering Data,
PAD,DICT722,,shore_station_ups_status,"PD7,PD10,PD11,PD12,PD16,PD863,PD7300,PD7301,PD7302,PD7303,PD7304,PD7305,PD7306,PD7307,PD7308,PD7309,PD7310,PD7311",PD7,,Engineering,Engineering Data,
PAD,DICT723,,shore_station_ups_line_eng_data,"PD7,PD10,PD11,PD12,PD16,PD863,PD7312,PD7313,PD7314,PD7315,PD7316,PD7317,PD7318",PD7,,Engineering,Engineering Data,
CTDBP_P,DICT724,,ctdbp_p_dcl_instrument,"PD7,PD10,PD11,PD12,PD16,PD863,PD312,PD6,PD1,PD2,PD93,PD13,PD5,PD8100",PD7,,Science,Data Products,
CTDBP_P,DICT725,,ctdbp_p_dcl_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD312,PD6,PD1,PD2,PD93,PD13,PD5,PD8100",PD7,,Science,Data Products,
DOSTA_D,DICT726,,dosta_abcdjm_ctdbp_p_dcl_instrument,"PD7,PD10,PD11,PD12,PD16,PD863,PD3790,PD3791,PD93,PD3792,PD3793,PD3794",PD7,,Science,Data Products,
DOSTA_D,DICT727,,dosta_abcdjm_ctdbp_p_dcl_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3790,PD3791,PD93,PD3792,PD3793,PD3794",PD7,,Science,Data Products,
FLORD_G,DICT728,,flord_g_ctdbp_p_dcl_instrument,"PD7,PD10,PD11,PD12,PD16,PD22,PD24,PD863,PD3796,PD3795,PD93",PD7,,Science,Data Products,
FLORD_G,DICT729,,flord_g_ctdbp_p_dcl_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD22,PD24,PD863,PD3796,PD3795,PD93",PD7,,Science,Data Products,
NUTNR_B,DICT730,,nutnr_b_dark_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD310,PD311,PD312,PD313,PD314,PD315,PD316,PD317,PD318,PD319,PD320,PD321,PD322,PD347,PD324,PD325,PD326,PD327,PD328,PD329,PD330,PD331,PD3799",PD7,,Science,Dark Sample Data Products,
NUTNR_B_DCL_CONC,DICT731,,nutnr_b_dcl_dark_conc_instrument,"PD7,PD10,PD11,PD12,PD16,PD863,PD2605,PD310,PD311,PD312,PD313,PD314,PD315,PD316,PD317,PD318,PD319",PD7,,Science,Dark Sample Data Products,
NUTNR_B_DCL_CONC,DICT732,,nutnr_b_dcl_dark_conc_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD2605,PD310,PD311,PD312,PD313,PD314,PD315,PD316,PD317,PD318,PD319",PD7,,Science,Dark Sample Data Products,
NUTNR_B_DCL_FULL,DICT733,,nutnr_b_dcl_dark_full_instrument,"PD7,PD10,PD11,PD12,PD16,PD863,PD2605,PD310,PD311,PD312,PD313,PD314,PD315,PD316,PD317,PD318,PD319,PD320,PD321,PD322,PD347,PD324,PD325,PD326,PD327,PD328,PD329,PD330,PD331,PD3799",PD7,,Science,Dark Sample Data Products,
NUTNR_B_DCL_FULL,DICT734,,nutnr_b_dcl_dark_full_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD2605,PD310,PD311,PD312,PD313,PD314,PD315,PD316,PD317,PD318,PD319,PD320,PD321,PD322,PD347,PD324,PD325,PD326,PD327,PD328,PD329,PD330,PD331,PD3799",PD7,,Science,Dark Sample Data Products,
PAD,DICT735,,shore_station_otn_shore_side_port_data,"PD7,PD10,PD11,PD12,PD16,PD863,PD7919,PD7920,PD7921,PD7922,PD7923,PD7924,PD7925,PD7926,PD7928",PD7,,Engineering,Engineering Data,
ANTELOPE,DICT736,,antelope_metadata,"PD7,PD10,PD11,PD12,PD16,PD863,PD3800,PD3801,PD3802,PD3803,PD3804,PD3805,PD3806,PD3807,PD3808",PD7,,Engineering,Antelope Metadata,
NUTNR_J_CSPP,DICT737,,nutnr_j_cspp_dark_instrument,"PD7,PD10,PD11,PD12,PD16,PD863,PD2311,PD2606,PD2622,PD311,PD2612,PD2613,PD314,PD315,PD2320,PD2321,PD2322,PD2323,PD2324,PD2325,PD2326,PD3799,PD320,PD321,PD322,PD347,PD324,PD327,PD325,PD2327,PD2328,PD316,PD317,PD2329,PD2330,PD2331,PD2614,PD2615,PD2616,PD2617,PD8095",PD7,,Science,Dark Sample Data Products,
NUTNR_J_CSPP,DICT738,,nutnr_j_cspp_dark_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD2311,PD2606,PD2622,PD311,PD2612,PD2613,PD314,PD315,PD2320,PD2321,PD2322,PD2323,PD2324,PD2325,PD2326,PD3799,PD320,PD321,PD322,PD347,PD324,PD327,PD325,PD2327,PD2328,PD316,PD317,PD2329,PD2330,PD2331,PD2614,PD2615,PD2616,PD2617,PD8095",PD7,,Science,Dark Sample Data Products,
NUTNR_N,DICT739,,nutnr_n_dark_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD311,PD312,PD2612,PD2613,PD314,PD315,PD2320,PD2321,PD2322,PD2323,PD2324,PD2325,PD2326,PD3799,PD320,PD321,PD322,PD347,PD324,PD327,PD325,PD2327,PD2328,PD316,PD317,PD2329,PD2330,PD2331,PD2614,PD2615,PD2616,PD2617",PD7,,Science,Dark Sample Data Products,
NUTNR_M,DICT740,,nutnr_m_dark_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD311,PD312,PD2612,PD2613,PD314,PD315,PD2320,PD2321,PD2322,PD2323,PD2324,PD2325,PD2326,PD3799,PD321,PD322,PD324,PD2331,PD2614,PD2615,PD2616,PD2617",PD7,,Science,Dark Sample Data Products,
BOTPT,DICT741,,botpt_nano_sample_15s,"PD3655,PD3656,PD3657,PD3658,PD3659,PD3664",PD3655,DICT87,Science,15s NANO Sample Data Products,
BOTPT,DICT742,,botpt_nano_sample_24hr,"PD3660,PD3661,PD3662,PD3663",PD3660,DICT87,Science,24hr NANO Sample Data Products,
ADCP_PD0,DICT743,ADCP_PD0,adcp_velocity_beam,"PD7,PD10,PD11,PD12,PD16,PD863,PD617,PD621,PD623,PD651,PD664,PD671,PD672,PD673,PD674,PD675,PD676,PD710,PD719,PD720,PD721,PD722,PD724,PD725,PD726,PD727,PD873,PD874,PD875,PD876,PD3811,PD3812,PD3813,PD3814,PD3819,PD3820,PD3821,PD3822,PD2769,PD2770,PD2771,PD2772,PD7983,PD8083,PD8084,PD8085,PD8090",PD7,,Science,Beam Coordinate Data Products,
ADCP_PD0,DICT744,ADCP_PD0,adcp_velocity_earth,"PD7,PD10,PD11,PD12,PD16,PD863,PD617,PD621,PD623,PD651,PD664,PD671,PD672,PD673,PD674,PD675,PD676,PD710,PD719,PD720,PD721,PD722,PD724,PD725,PD726,PD727,PD729,PD730,PD731,PD732,PD714,PD715,PD716,PD717,PD3823,PD3824,PD3825,PD3826,PD2769,PD2770,PD2771,PD2772,PD7983,PD8083,PD8084,PD8085,PD8090",PD7,,Science,Earth Coordinates Data Products,
ADCP_PD0,DICT745,ADCP_PD0,adcp_velocity_inst,"PD7,PD10,PD11,PD12,PD16,PD863,PD617,PD621,PD623,PD651,PD664,PD671,PD672,PD673,PD674,PD675,PD676,PD719,PD720,PD721,PD722,PD724,PD725,PD726,PD727,PD729,PD730,PD731,PD732,PD3669,PD3670,PD3671,PD717,PD2769,PD2770,PD2771,PD2772",PD7,,Science,Data Products,
ADCP_PD0,DICT746,ADCP_PD0,adcp_velocity_glider,"PD7,PD10,PD11,PD12,PD16,PD863,PD617,PD621,PD623,PD651,PD664,PD671,PD672,PD673,PD674,PD675,PD676,PD710,PD719,PD720,PD721,PD722,PD724,PD725,PD726,PD727,PD729,PD730,PD731,PD732,PD714,PD715,PD716,PD717,PD3835,PD3836,PD3825,PD3826,PD2769,PD2770,PD2771,PD2772,PD7984,PD8090",PD7,,Science,Data Products,
ADCP_PD0,DICT747,ADCP_PD0,adcp_engineering,"PD7,PD10,PD11,PD12,PD16,PD863,PD652,PD670,PD677,PD3833,PD3829,PD679,PD680,PD681,PD682,PD683,PD684,PD685,PD686,PD687,PD688,PD689,PD711,PD3831,PD3832",PD7,,Engineering,Engineering Data,
ADCP_PD0,DICT748,ADCP_PD0,adcp_config,"PD7,PD10,PD11,PD12,PD16,PD863,PD611,PD612,PD618,PD619,PD620,PD621,PD622,PD623,PD624,PD625,PD626,PD627,PD628,PD629,PD630,PD3834,PD3830,PD636,PD637,PD653,PD654,PD655,PD656,PD657,PD658,PD659,PD660,PD312,PD662,PD613,PD614,PD615,PD616,PD617,PD2070,PD2071,PD632,PD633,PD634,PD635,PD638,PD639,PD640,PD641,PD642,PD643,PD644,PD2066,PD2021,PD645,PD646,PD647,PD648,PD649,PD650,PD2067",PD7,,Engineering,Configuration Data,
ADCP_PD0,DICT749,ADCP_PD0,adcp_bottom_track_earth,"PD7,PD10,PD11,PD12,PD16,PD863,PD1171,PD1172,PD1173,PD1174,PD1175,PD1176,PD1177,PD1178,PD1179,PD1180,PD1181,PD1182,PD1183,PD1184,PD1185,PD1186,PD1190,PD1191,PD1192,PD1193,PD1194,PD1195,PD1196,PD1197,PD1198,PD1199,PD1200,PD1201,PD1202,PD1203,PD1204,PD1205,PD1207,PD1208,PD1209,PD1210,PD1167,PD1168,PD1169,PD1170,PD1187,PD1188,PD1189,PD1211",PD7,,Science,Bottom Track Data Products in Earth Coordinates,
ADCP_PD0,DICT750,ADCP_PD0,adcp_bottom_track_inst,"PD7,PD10,PD11,PD12,PD16,PD863,PD3672,PD3673,PD3674,PD1174,PD1175,PD1176,PD1177,PD1178,PD1179,PD1180,PD1181,PD1182,PD1183,PD1184,PD1185,PD1186,PD1193,PD1194,PD1195,PD1196,PD1197,PD1198,PD1199,PD1200,PD1201,PD1202,PD1203,PD1204,PD1205,PD1207,PD1208,PD1209,PD1210,PD1167,PD1168,PD1169,PD1170,PD1187,PD1188,PD1189,PD1211,PD3675,PD3676,PD3677",PD7,,Science,Bottom Track Data Products,
ADCP_PD0,DICT751,ADCP_PD0,adcp_bottom_track_config,"PD7,PD10,PD11,PD12,PD16,PD863,PD1160,PD1161,PD1162,PD1163,PD1164,PD1165,PD1166,PD1206",PD7,,Engineering,Bottom Track Configuration Data,
VADCP,DICT752,VADCP,vadcp_velocity_beam,"PD7,PD10,PD11,PD12,PD16,PD863,PD617,PD621,PD623,PD651,PD664,PD671,PD672,PD673,PD674,PD675,PD676,PD710,PD719,PD720,PD721,PD722,PD724,PD725,PD726,PD727,PD873,PD874,PD875,PD876,PD3811,PD3812,PD3813,PD3814,PD3819,PD3820,PD3822,PD3827,PD3828,PD2769,PD2770,PD2771,PD2772,PD7983,PD8083,PD8084,PD8085,PD8090",PD7,,Science,Data Products,
VADCP,DICT753,VADCP,vadcp_velocity_beam_5,"PD7,PD10,PD11,PD12,PD16,PD863,PD617,PD621,PD623,PD651,PD664,PD671,PD672,PD673,PD674,PD675,PD676,PD710,PD3815,PD3816,PD3817,PD3818,PD8090",PD7,,Science,Beam 5 Data Products,
VADCP,DICT754,VADCP,adcp_engineering_5,"PD7,PD10,PD11,PD12,PD16,PD863,PD652,PD670,PD677,PD678,PD3829,PD679,PD680,PD681,PD682,PD683,PD684,PD685,PD686,PD687,PD688,PD689,PD711",PD7,,Engineering,Beam 5 Engineering Data,
VADCP,DICT755,VADCP,adcp_config_5,"PD7,PD10,PD11,PD12,PD16,PD863,PD611,PD612,PD618,PD619,PD620,PD621,PD622,PD623,PD624,PD625,PD626,PD627,PD628,PD629,PD630,PD631,PD3830,PD636,PD637,PD653,PD654,PD655,PD656,PD657,PD658,PD659,PD660,PD312,PD662,PD613,PD614,PD615,PD616,PD617,PD632,PD633,PD634,PD635,PD638,PD639,PD640,PD641,PD642,PD643,PD644,PD645,PD646,PD647,PD648,PD649,PD650",PD7,,Engineering,Beam 5 Configuration Data,
VADCP,DICT756,VADCP,adcp_compass_calibration_5,"PD7,PD10,PD11,PD12,PD16,PD863,PD795,PD796,PD797,PD798,PD799,PD800,PD801,PD802,PD881,PD803,PD804,PD805,PD806",PD7,,Calibration,Beam 5 Compass Data,ready for review
VADCP,DICT757,VADCP,adcp_system_configuration_5,"PD7,PD10,PD11,PD12,PD16,PD863,PD312,PD807,PD808,PD809,PD662,PD811,PD812,PD813,PD814,PD815,PD816,PD817,PD818,PD819,PD820,PD821,PD822,PD823,PD824,PD825,PD826,PD827,PD828",PD7,,Engineering,Beam 5 System Configuration Data,
VADCP,DICT758,VADCP,adcp_ancillary_system_data_5,"PD7,PD10,PD11,PD12,PD16,PD863,PD2180,PD2181,PD2182",PD7,,Engineering,Beam 5 Ancillary System Data,
VADCP,DICT759,VADCP,adcp_transmit_path_5,"PD7,PD10,PD11,PD12,PD16,PD863,PD2183,PD2184,PD2185,PD2186",PD7,,Engineering,Beam 5 Transmit Path Data,
CAMHD_A,DICT760,,camhd_metadata,"PD7,PD10,PD11,PD12,PD16,PD863,PD3808",PD7,,Engineering,Metadata,
ENG_M_GLDR_CSTL,DICT761,,glider_gps_position,"PD7,PD10,PD11,PD12,PD16,PD863,PD1335,PD1336,PD1382,PD1391,PD8105,PD8106",PD7,,Engineering,GPS Position Data,
CSPP_ENG,DICT762,CSPP_ENG_DCL,cspp_eng_dcl_modem,"PD7,PD10,PD11,PD12,PD16,PD863,PD8003,PD8004,PD8005",,,Engineering,Winch Motor Metadata,
CSPP_ENG,DICT763,CSPP_ENG_DCL,cspp_eng_dcl_eng_data,"PD7,PD10,PD11,PD12,PD16,PD863,PD7992,PD7993,PD7994,PD7995,PD7996,PD7997,PD7998,PD7999,PD8000,PD8001,PD8002",,,Engineering,Winch Motor Metadata,
CSPP_ENG,DICT764,CSPP_ENG_DCL,cspp_eng_dcl_summary,"PD7,PD10,PD11,PD12,PD16,PD863,PD8006,PD8007,PD8008,PD8009,PD8010,PD8011,PD8012,PD8013,PD8014,PD8015,PD8016,PD8017,PD8018,PD8019",,,Engineering,Winch Motor Metadata,
CSPP_ENG,DICT765,CSPP_ENG_DCL,cspp_eng_dcl_profile,"PD7,PD10,PD11,PD12,PD16,PD863,PD8020,PD8021,PD8022,PD8023,PD8024,PD8025,PD8026,PD8027,PD8028,PD8029",,,Engineering,Winch Motor Metadata,
PRESF_ABC,DICT766,PRESF_ABC,presf_abc_tide_measurement_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD8030,PD8031,PD8032,PD8035,PD8036",PD7,,Science,Wave Burst Data Products,
PRESF_ABC,DICT767,PRESF_ABC,presf_abc_wave_burst_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD8030,PD8033,PD8034,PD8037",PD7,,Science,Wave Burst Data Products,
"CTDBP_P,DOSTA",DICT768,DOSTA,dosta_abcdjm_ctdbp_p_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD198,PD835,PD836,PD8038,PD8039,PD8040,PD8041,PD8042",PD7,,Science,Data Products,ready for review
"CTDBP_P,FLORD",DICT769,FLORD,flord_g_ctdbp_p_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD22,PD24,PD863,PD198,PD1139,PD1141",PD7,,Science,Data Products,ready for review
FLORT_O_GLDR_CSTL,DICT770,FLORT,flort_o_glider_data,"PD7,PD10,PD11,PD12,PD16,PD21,PD25,PD863,PD1402,PD1401,PD1495,PD1494,PD8043,PD8044,PD8045,PD8046,PD8047,PD8048,PD8049,PD8050,PD8051",PD7,,Science,Data Products,
BOTPT,DICT771,,botpt_nano_sample_15sec,"PD7,PD8058,PD8059,PD8060,PD8061,PD8062,PD8067",PD7,,Science,5s NANO Sample Data Products,
BOTPT,DICT772,,botpt_nano_sample_24hour,"PD7,PD8063,PD8064,PD8065,PD8066",PD7,,Science,24hr NANO Sample Data Products,
ZPLSC_C,DICT773,,zplsc_c_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3730,PD312,PD3731,PD761,PD3732,PD3733,PD3734,PD3735,PD3736,PD3737,PD3748,PD3749,PD3751,PD3752,PD3754,PD3755,PD3757,PD3758",PD7,,Science,Data Products,
ZPLSC,DICT774,,zplsc_echogram_data,"PD7,PD10,PD11,PD12,PD16,PD863,PD8068,PD8069,PD8070,PD8071,PD8072,PD8073,PD8074,PD8075,PD8076,PD8077,PD8078,PD8079",PD7,,Science,Data Products,
SUNA_DCL_RECOVERED,DICT776,,suna_dcl_recovered,"PD7,PD11,PD10,PD12,PD16,PD18,PD863,PD311,PD312,PD313,PD314,PD315,PD2320,PD2321,PD2322,PD2323,PD2324,PD2325,PD2326,PD332,PD320,PD321,PD322,PD347,PD324,PD327,PD325,PD2327,PD2328,PD316,PD317,PD2329,PD2330,PD333,PD2331",PD7,,Science,Data Products,
SUNA_INSTRUMENT_RECOVERED,DICT777,,suna_instrument_recovered,"PD7,PD11,PD10,PD12,PD16,PD18,PD863,PD311,PD312,PD313,PD314,PD315,PD2320,PD2321,PD2322,PD2323,PD2324,PD2325,PD2326,PD332,PD320,PD321,PD322,PD347,PD324,PD327,PD325,PD2327,PD2328,PD316,PD317,PD2329,PD2330,PD333,PD2331",PD7,,Science,Data Products,
METBK_CT_DCL,DICT778,,metbk_ct_dcl_instrument,"PD7,PD10,PD11,PD12,PD16,PD863,PD312,PD193,PD194,PD198",PD7,,Science,Data Products,
DEPRECATED,DICT157,,flort_kn_stc_imodem_instrument,"PD7,PD10,PD11,PD12,PD16,PD21,PD22,PD23,PD24,PD25,PD863,PD1622,PD1139,PD1141,PD1143",PD7,,Science,Data Products (STC),Deprecated by flort_sample
DEPRECATED,DICT174,,flord_m_glider_instrument,"PD7,PD10,PD11,PD12,PD16,PD21,PD25,PD863,PD1402,PD1401,PD1495,PD1494,PD2751,PD2752,PD2753,PD1537,PD2754,PD2755,PD1538,PD2756",PD7,,Science,Data Products,Deprecated by flort_m_sample
DEPRECATED,DICT175,,flort_m_glider_instrument,"PD7,PD10,PD11,PD12,PD16,PD21,PD25,PD863,PD1402,PD1401,PD1495,PD1494,PD1479,PD1482,PD1485",PD7,,Science,Data Products,Deprecated by flort_m_sample
DEPRECATED,DICT176,,flort_m_glider_recovered,"PD7,PD10,PD11,PD12,PD16,PD21,PD25,PD863,PD1402,PD1401,PD1495,PD1494,PD1488,PD1477,PD1478,PD1479,PD1480,PD1481,PD1482,PD1483,PD1484,PD1485,PD1487",PD7,,Science,Data Products,Deprecated by flort_m_sample
DEPRECATED,DICT394,,flort_kn_stc_imodem_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD21,PD22,PD23,PD24,PD25,PD863,PD1622,PD1139,PD1141,PD1143",PD7,,Science,Data Products,Deprecated by flort_sample
DEPRECATED,DICT406,,flort_dj_dcl_instrument,"PD7,PD10,PD11,PD12,PD16,PD21,PD22,PD23,PD24,PD25,PD863,PD2605,PD1136,PD1137,PD1138,PD1139,PD1140,PD1141,PD1142,PD1143,PD1144",PD7,,Science,Data Products,Deprecated by flort_sample
DEPRECATED,DICT407,,flort_dj_dcl_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD21,PD22,PD23,PD24,PD25,PD863,PD2605,PD1136,PD1137,PD1138,PD1139,PD1140,PD1141,PD1142,PD1143,PD1144",PD7,,Science,Data Products,Deprecated by flort_sample
DEPRECATED,DICT502,,flort_dj_cspp_instrument,"PD7,PD10,PD11,PD12,PD16,PD21,PD22,PD23,PD24,PD25,PD863,PD2311,PD2606,PD2622,PD1136,PD1137,PD1138,PD1139,PD1140,PD1141,PD1142,PD1143,PD1144,PD8095",PD7,,Science,Data Products,Deprecated by flort_sample
DEPRECATED,DICT503,,flort_dj_cspp_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD21,PD22,PD23,PD24,PD25,PD863,PD2311,PD2606,PD2622,PD1136,PD1137,PD1138,PD1139,PD1140,PD1141,PD1142,PD1143,PD1144,PD8095",PD7,,Science,Data Products,Deprecated by flort_sample
DEPRECATED,DICT558,,flort_dj_sio_instrument,"PD7,PD10,PD11,PD12,PD16,PD21,PD22,PD23,PD24,PD25,PD863,PD2174,PD1136,PD1137,PD1138,PD1139,PD1140,PD1141,PD1142,PD1143,PD1144",PD7,,Science,Data Products,Deprecated by flort_sample
DEPRECATED,DICT559,,flort_dj_sio_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD21,PD22,PD23,PD24,PD25,PD863,PD2174,PD1136,PD1137,PD1138,PD1139,PD1140,PD1141,PD1142,PD1143,PD1144",PD7,,Science,Data Products,Deprecated by flort_sample
"DEPRECATED,CTDAV_N_AUV",DICT661,,ctdav_n_auv_instrument,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3412,PD3413,PD3431,PD1276,PD3459,PD4,PD3,PD562,PD3460,PD3461",PD7,,Science,Data Products,
"DEPRECATED,CTDAV_N_AUV",DICT662,,ctdav_n_auv_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3412,PD3413,PD3431,PD1276,PD3459,PD4,PD3,PD562,PD3460,PD3461",PD7,,Science,Data Products,
