scenario,id,confluence,name,parameterids,temporalparameter,streamdependency,streamtype,streamcontent,reviewstatus
FDCHP_A_DCL,DICT629,,fdchp_a_dcl_instrument,"PD7,PD10,PD11,PD12,PD16,PD863,PD3289,PD2605,PD3290,PD3291,PD3292,PD3293,PD3294,PD3295,PD3296,PD3297,PD3298,PD3299,PD3300,PD3301,PD3302,PD3303,PD3304,PD3305,PD3306,PD3307,PD3308,PD3309,PD3310,PD3311,PD3312,PD3313,PD3314,PD3315,PD3316,PD3317,PD3318,PD3319,PD3320,PD3321,PD3322,PD3323,PD3324,PD3325,PD3326,PD3327,PD3328,PD3329,PD3330,PD3331,PD3332,PD436,PD437,PD438,PD3333,PD3334,PD3335,PD3336,PD3337,PD3338,PD3339,PD3340,PD3341,PD3342,PD3343,PD3344,PD3345,PD3346,PD3347,PD3348,PD3349,PD3350,PD3351,PD3352",PD7,,Science,Data Products,
FDCHP_A_DCL,DICT630,,fdchp_a_dcl_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3289,PD2605,PD3290,PD3291,PD3292,PD3293,PD3294,PD3295,PD3296,PD3297,PD3298,PD3299,PD3300,PD3301,PD3302,PD3303,PD3304,PD3305,PD3306,PD3307,PD3308,PD3309,PD3310,PD3311,PD3312,PD3313,PD3314,PD3315,PD3316,PD3317,PD3318,PD3319,PD3320,PD3321,PD3322,PD3323,PD3324,PD3325,PD3326,PD3327,PD3328,PD3329,PD3330,PD3331,PD3332,PD436,PD437,PD438,PD3333,PD3334,PD3335,PD3336,PD3337,PD3338,PD3339,PD3340,PD3341,PD3342,PD3343,PD3344,PD3345,PD3346,PD3347,PD3348,PD3349,PD3350,PD3351,PD3352",PD7,,Science,Data Products,
ZPLSC_B,DICT631,,zplsc_metadata,"PD7,PD10,PD11,PD12,PD16,PD863,PD3278,PD3279,PD3280,PD3281,PD3282,PD3283,PD3284,PD3285,PD3286,PD3287,PD3355,PD3808",PD7,,Engineering,Metadata,
FUELCELL_ENG_DCL,DICT632,,fuelcell_eng_dcl_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD2605,PD3251,PD3252,PD3253,PD3254,PD3255,PD3256,PD3257,PD3258,PD3259,PD3260,PD3261,PD3262,PD3263,PD3264,PD3265,PD3266,PD3267,PD3268,PD3269,PD3270,PD3271,PD3272,PD3273,PD3274,PD3275,PD3276,PD3277",PD7,,Engineering,Engineering Data,
FUELCELL_ENG_DCL,DICT633,,fuelcell_eng_dcl_telemetered,"PD7,PD10,PD11,PD12,PD16,PD863,PD2605,PD3251,PD3252,PD3253,PD3254,PD3255,PD3256,PD3257,PD3258,PD3259,PD3260,PD3261,PD3262,PD3263,PD3264,PD3265,PD3266,PD3267,PD3268,PD3269,PD3270,PD3271,PD3272,PD3273,PD3274,PD3275,PD3276,PD3277",PD7,,Engineering,Engineering Data,
OSMOI_A_SUBCON,DICT634,,osmoi_a_subcon_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3397,PD312,PD3360,PD3361,PD1075,PD8,PD9,PD1276,PD6,PD3362,PD3363,PD3364,PD3365,PD3366,PD3367,PD3368,PD3369,PD3370,PD3371,PD3372,PD3373,PD3374,PD3375,PD3376,PD3377,PD3378,PD3379,PD3380,PD3381,PD3382,PD3383,PD3384,PD3385,PD3386,PD3387,PD3388,PD3389,PD3390,PD3391,PD3392,PD3393,PD3394,PD3395,PD3396",PD7,,Science,Data Products,
RASFL_A_SUBCON,DICT635,,rasfl_a_subcon_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD312,PD3360,PD3361,PD1075,PD8,PD9,PD1276,PD6,PD3362,PD3363,PD3364,PD3365,PD3366,PD3367,PD3368,PD3369,PD3370,PD3371,PD3372,PD3373,PD3374,PD3375,PD3376,PD3377,PD3378,PD3379,PD3380,PD3381,PD3382,PD3383,PD3384,PD3385,PD3386,PD3387,PD3388,PD3389,PD3390,PD3391,PD3392,PD3393,PD3394,PD3395,PD3396",PD7,,Science,Data Products,
PPSDN_A_SUBCON,DICT636,,ppsdn_a_subcon_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD312,PD3360,PD3361,PD1075,PD8,PD9,PD1276,PD3400,PD3401,PD3402",PD7,,Science,Data Products,
FLOBN_A_SUBCON,DICT637,,flobn_c_upper_coil_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3403,PD3404,PD3378,PD3408,PD3372,PD3370,PD3376,PD3371,PD3369,PD3409,PD3410,PD3411,PD3406",PD7,,Science,Upper Coil Data Products,
FLOBN_A_SUBCON,DICT638,,flobn_c_lower_coil_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3403,PD3404,PD3378,PD3408,PD3372,PD3370,PD3376,PD3371,PD3369,PD3409,PD3410,PD3411,PD3406",PD7,,Science,Lower Coil Data Products,
